课程,持续周,星期,时间段,开课链接
软件分析与建模,1-4|7-14,1,3-4,https://www.cnmooc.org/portal/session/bulletin/index/15148.mooc
软件分析与建模,1-4|7-14,4,3-4,https://www.cnmooc.org/portal/session/bulletin/index/15148.mooc
计算机网络,1-4|7-14,1,5-6,https://ke.qq.com/webcourse/index.html#cid=1069920&term_id=101165945&taid=6588625862021984&lite=1
计算机网络,1-4|7-14,3,3-4,https://ke.qq.com/webcourse/index.html#cid=1069920&term_id=101165945&taid=6588625862021984&lite=1
毛泽东思想和中国特色社会主义理论体系概论,1-12,1,9-10,www.baidu.com
毛泽东思想和中国特色社会主义理论体系概论,1-12,5,3-4,www.baidu.com
数据库系统,1-4|7-14,2,1-2,https://ke.qq.com/webcourse/index.html#cid=842932&term_id=100941310&taid=5103597969530036&lite=1
数据库系统,1-4|7-14,4,1-2,https://ke.qq.com/webcourse/index.html#cid=842932&term_id=100941310&taid=5103597969530036&lite=1
编译技术,2-4|7-14,2,5-6,https://www.icourse163.org/course/HIT-1002123007
编译技术,2-4|7-13,2,7-7,https://www.icourse163.org/course/HIT-1002123007
区块链计数与应用,4-9,4,9-10,www.baidu.com
区块链计数与应用,4-7,4,11-11,www.baidu.com
健身,1-16,5,5-6,www.baidu.com
